Variable;Date;Daily
icu;2020-12-03;267
icu;2020-12-04;293
icu;2020-12-05;279
icu;2020-12-06;302
icu;2020-12-07;328
icu;2020-12-08;354
icu;2020-12-09;349
icu;2020-12-10;342
icu;2020-12-11;361
icu;2020-12-12;371
icu;2020-12-13;390
icu;2020-12-14;429
icu;2020-12-15;439
icu;2020-12-16;493
icu;2020-12-17;516
icu;2020-12-18;568
icu;2020-12-19;606
icu;2020-12-20;661
icu;2020-12-21;713
icu;2020-12-22;723
icu;2020-12-23;720
icu;2020-12-24;724
icu;2020-12-25;726
icu;2020-12-26;776
icu;2020-12-27;817
icu;2020-12-28;872
icu;2020-12-29;900
icu;2020-12-30;926
icu;2020-12-31;879
icu;2021-01-01;885
icu;2021-01-02;944
icu;2021-01-03;937
icu;2021-01-04;964
icu;2021-01-05;942
icu;2021-01-06;886
icu;2021-01-07;861
icu;2021-01-08;864
icu;2021-01-09;833
icu;2021-01-10;875
icu;2021-01-11;920
icu;2021-01-12;917
icu;2021-01-13;859
icu;2021-01-14;839
icu;2021-01-15;792
icu;2021-01-16;779
icu;2021-01-17;799
icu;2021-01-18;817
icu;2021-01-19;792
icu;2021-01-20;771
icu;2021-01-21;745
icu;2021-01-22;745
icu;2021-01-23;703
icu;2021-01-24;725
icu;2021-01-25;738
icu;2021-01-26;684
icu;2021-01-27;666
icu;2021-01-28;611
icu;2021-01-29;583
icu;2021-01-30;541
icu;2021-01-31;529
icu;2021-02-01;544
icu;2021-02-02;504
icu;2021-02-03;482
icu;2021-02-04;444
icu;2021-02-05;405
icu;2021-02-06;382
icu;2021-02-07;378
icu;2021-02-08;400
icu;2021-02-09;371
icu;2021-02-10;370
icu;2021-02-11;357
icu;2021-02-12;337
icu;2021-02-13;308
icu;2021-02-14;309
icu;2021-02-15;315
icu;2021-02-16;298
icu;2021-02-17;280
icu;2021-02-18;269
icu;2021-02-19;264
icu;2021-02-20;248
icu;2021-02-21;248
icu;2021-02-22;254
icu;2021-02-23;247
icu;2021-02-24;238
icu;2021-02-25;235
icu;2021-02-26;231
icu;2021-02-27;217
icu;2021-02-28;231
icu;2021-03-01;243
icu;2021-03-02;232
icu;2021-03-03;225
icu;2021-03-04;217
icu;2021-03-05;215
icu;2021-03-06;211
icu;2021-03-07;224
icu;2021-03-08;234
icu;2021-03-09;221
icu;2021-03-10;230
icu;2021-03-11;222
icu;2021-03-12;225
icu;2021-03-13;213
icu;2021-03-14;217
icu;2021-03-15;211
icu;2021-03-16;207
icu;2021-03-17;196
icu;2021-03-18;195
icu;2021-03-19;191
icu;2021-03-20;179
icu;2021-03-21;184
icu;2021-03-22;192
icu;2021-03-23;214
icu;2021-03-24;216
icu;2021-03-25;214
icu;2021-03-26;207
icu;2021-03-27;192
icu;2021-03-28;200
icu;2021-03-29;216
icu;2021-03-30;226
icu;2021-03-31;218
icu;2021-04-01;211
icu;2021-04-02;211
icu;2021-04-03;215
icu;2021-04-04;211
icu;2021-04-05;220
icu;2021-04-06;219
icu;2021-04-07;237
icu;2021-04-08;237
icu;2021-04-09;221
icu;2021-04-10;208
icu;2021-04-11;211
icu;2021-04-12;207
icu;2021-04-13;197
icu;2021-04-14;204
icu;2021-04-15;191
icu;2021-04-16;185
icu;2021-04-17;173
icu;2021-04-18;181
icu;2021-04-19;199
icu;2021-04-20;194
icu;2021-04-21;191
icu;2021-04-22;191
icu;2021-04-23;190
icu;2021-04-24;177
icu;2021-04-25;181
icu;2021-04-26;177
icu;2021-04-27;172
icu;2021-04-28;181
icu;2021-04-29;173
icu;2021-04-30;176
icu;2021-05-01;174
icu;2021-05-02;179
icu;2021-05-03;184
icu;2021-05-04;163
icu;2021-05-05;161
icu;2021-05-06;156
icu;2021-05-07;157
icu;2021-05-08;143
icu;2021-05-09;150
icu;2021-05-10;153
icu;2021-05-11;165
icu;2021-05-12;158
icu;2021-05-13;154
icu;2021-05-14;163
icu;2021-05-15;162
icu;2021-05-16;164
icu;2021-05-17;173
icu;2021-05-18;166
icu;2021-05-19;163
icu;2021-05-20;160
icu;2021-05-21;143
icu;2021-05-22;146
icu;2021-05-23;139
icu;2021-05-24;143
icu;2021-05-25;148
icu;2021-05-26;148
icu;2021-05-27;149
icu;2021-05-28;143
icu;2021-05-29;144
icu;2021-05-30;148
icu;2021-05-31;153
icu;2021-06-01;155
icu;2021-06-02;157
icu;2021-06-03;143
icu;2021-06-04;145
icu;2021-06-05;134
icu;2021-06-06;138
icu;2021-06-07;137
icu;2021-06-08;124
icu;2021-06-09;122
icu;2021-06-10;120
icu;2021-06-11;111
icu;2021-06-12; 99
icu;2021-06-13; 98
icu;2021-06-14;102
icu;2021-06-15;101
icu;2021-06-16; 93
icu;2021-06-17; 84
icu;2021-06-18; 84
icu;2021-06-19; 76
icu;2021-06-20; 80
icu;2021-06-21; 82
icu;2021-06-22; 67
icu;2021-06-23; 64
icu;2021-06-24; 68
icu;2021-06-25; 65
icu;2021-06-26; 63
icu;2021-06-27; 66
icu;2021-06-28; 65
icu;2021-06-29; 62
icu;2021-06-30; 55
icu;2021-07-01; 52
icu;2021-07-02; 48
icu;2021-07-03; 43
icu;2021-07-04; 39
icu;2021-07-05; 40
icu;2021-07-06; 43
icu;2021-07-07; 39
icu;2021-07-08; 38
icu;2021-07-09; 35
icu;2021-07-10; 28
icu;2021-07-11; 29
icu;2021-07-12; 37
icu;2021-07-13; 47
icu;2021-07-14; 51
icu;2021-07-15; 51
icu;2021-07-16; 53
icu;2021-07-17; 55
icu;2021-07-18; 53
icu;2021-07-19; 50
icu;2021-07-20; 50
icu;2021-07-21; 55
icu;2021-07-22; 57
icu;2021-07-23; 55
icu;2021-07-24; 56
icu;2021-07-25; 59
icu;2021-07-26; 60
icu;2021-07-27; 61
icu;2021-07-28; 64
icu;2021-07-29; 57
icu;2021-07-30; 56
icu;2021-07-31; 54
icu;2021-08-01; 57
icu;2021-08-02; 54
icu;2021-08-03; 62
icu;2021-08-04; 59
icu;2021-08-05; 62
icu;2021-08-06; 69
icu;2021-08-07; 67
icu;2021-08-08; 80
icu;2021-08-09; 83
icu;2021-08-10; 85
icu;2021-08-11;103
icu;2021-08-12;113
icu;2021-08-13;101
icu;2021-08-14; 94
icu;2021-08-15;107
icu;2021-08-16;117
icu;2021-08-17;101
icu;2021-08-18;105
icu;2021-08-19;116
icu;2021-08-20;115
icu;2021-08-21;115
icu;2021-08-22;124
icu;2021-08-23;131
icu;2021-08-24;131
icu;2021-08-25;133
icu;2021-08-26;127
icu;2021-08-27;126
icu;2021-08-28;124
icu;2021-08-29;129
icu;2021-08-30;142
icu;2021-08-31;147
icu;2021-09-01;134
icu;2021-09-02;132
icu;2021-09-03;137
icu;2021-09-04;121
icu;2021-09-05;124
icu;2021-09-06;125
icu;2021-09-07;123
icu;2021-09-08;128
icu;2021-09-09;132
icu;2021-09-10;132
icu;2021-09-11;124
icu;2021-09-12;125
icu;2021-09-13;125
icu;2021-09-14;117
icu;2021-09-15;116
icu;2021-09-16;102
icu;2021-09-17;105
icu;2021-09-18; 97
icu;2021-09-19; 98
icu;2021-09-20; 99
icu;2021-09-21; 96
icu;2021-09-22; 89
icu;2021-09-23; 87
icu;2021-09-24; 87
icu;2021-09-25; 77
icu;2021-09-26; 85
icu;2021-09-27; 95
icu;2021-09-28; 93
icu;2021-09-29; 89
icu;2021-09-30; 93
icu;2021-10-01; 83
icu;2021-10-02; 85
icu;2021-10-03; 82
icu;2021-10-04; 86
icu;2021-10-05; 87
icu;2021-10-06; 95
icu;2021-10-07; 98
icu;2021-10-08; 88
icu;2021-10-09; 77
icu;2021-10-10; 83
icu;2021-10-11; 89
icu;2021-10-12; 89
icu;2021-10-13; 91
icu;2021-10-14; 90
icu;2021-10-15;105
icu;2021-10-16;110
icu;2021-10-17;120
icu;2021-10-18;121
icu;2021-10-19;120
icu;2021-10-20;126
icu;2021-10-21;132
icu;2021-10-22;144
icu;2021-10-23;156
icu;2021-10-24;167
icu;2021-10-25;186
icu;2021-10-26;195
icu;2021-10-27;200
icu;2021-10-28;212
icu;2021-10-29;221
icu;2021-10-30;219
icu;2021-10-31;233
icu;2021-11-01;248
icu;2021-11-02;255
icu;2021-11-03;264
icu;2021-11-04;246
icu;2021-11-05;263
icu;2021-11-06;277
icu;2021-11-07;282
icu;2021-11-08;303
icu;2021-11-09;315
icu;2021-11-10;319
icu;2021-11-11;307
icu;2021-11-12;316
icu;2021-11-13;319
icu;2021-11-14;346
icu;2021-11-15;356
icu;2021-11-16;371
icu;2021-11-17;369
icu;2021-11-18;362
icu;2021-11-19;378
icu;2021-11-20;386
icu;2021-11-21;414
icu;2021-11-22;438
icu;2021-11-23;444
icu;2021-11-24;435
icu;2021-11-25;411
icu;2021-11-26;426
icu;2021-11-27;418
icu;2021-11-28;435
icu;2021-11-29;446
icu;2021-11-30;433
icu;2021-12-01;439
icu;2021-12-02;427
icu;2021-12-03;449
icu;2021-12-04;434
icu;2021-12-05;447
icu;2021-12-06;468
icu;2021-12-07;465
icu;2021-12-08;461
icu;2021-12-09;460
icu;2021-12-10;472
icu;2021-12-11;455
icu;2021-12-12;468
icu;2021-12-13;487
icu;2021-12-14;498
icu;2021-12-15;508
icu;2021-12-16;517
icu;2021-12-17;518
icu;2021-12-18;533
icu;2021-12-19;560
icu;2021-12-20;581
icu;2021-12-21;554
icu;2021-12-22;553
icu;2021-12-23;570
icu;2021-12-24;538
icu;2021-12-25;522
icu;2021-12-26;579
icu;2021-12-27;608
icu;2021-12-28;666
icu;2021-12-29;675
icu;2021-12-30;665
icu;2021-12-31;641
icu;2022-01-01;647
icu;2022-01-02;709
icu;2022-01-03;770
icu;2022-01-04;794
icu;2022-01-05;784
icu;2022-01-06;756
icu;2022-01-07;755
icu;2022-01-08;730
icu;2022-01-09;723
icu;2022-01-10;777
icu;2022-01-11;754
icu;2022-01-12;751
icu;2022-01-13;755
icu;2022-01-14;757
icu;2022-01-15;711
icu;2022-01-16;734
icu;2022-01-17;802
icu;2022-01-18;810
icu;2022-01-19;821
icu;2022-01-20;825
icu;2022-01-21;813
icu;2022-01-22;781
icu;2022-01-23;813
icu;2022-01-24;894
icu;2022-01-25;918
